"","nazov","price","year","km","kw","kraj","fuel","trans"
"38","Škoda",14490,2017,27592,81,"ZA kraj","Benzín","Manuál"
"39","Škoda",14499,2019,195307,85,"BA kraj","Diesel","Automat"
"40","Škoda",14499,2017,135493,85,"BA kraj","Diesel","Automat"
"41","Škoda",14500,2019,216328,96,"ZA kraj","Benzín+Plyn","Automat"
"42","Škoda",14990,2016,163434,110,"BB kraj","Diesel","Automat"
"43","Škoda",14999,2019,168692,85,"BA kraj","Benzín","Manuál"
"44","Škoda",14999,2019,145963,85,"BA kraj","Diesel","Automat"
"45","Škoda",16500,2019,168724,110,"ZA kraj","Diesel","Automat"
"46","Škoda",16500,2019,169000,85,"BA kraj","Diesel","Automat"
"47","Škoda",16699,2020,118402,85,"BA kraj","Diesel","Automat"
"48","Škoda",16700,2017,197000,135,"BA kraj","Diesel","Automat"
"49","Škoda",16990,2017,175000,135,"KE kraj","Diesel","Automat"
"50","Škoda",17400,2019,146688,110,"BA kraj","Benzín","Automat"
"51","Škoda",17499,2017,117726,110,"BA kraj","Diesel","Manuál"
"52","Škoda",17790,2017,158953,110,"KE kraj","Diesel","Automat"
"53","Škoda",17900,2019,75568,85,"TT kraj","Diesel","Manuál"
"54","Škoda",17900,2018,122406,110,"BA kraj","Diesel","Manuál"
"55","Škoda",18777,2017,147000,135,"BA kraj","Diesel","Automat"
"56","Škoda",18990,2018,163000,135,"BA kraj","Diesel","Automat"
"57","Škoda",19299,2018,151348,110,"BB kraj","Diesel","Manuál"
"58","Škoda",19490,2018,79000,110,"TN kraj","Diesel","Automat"
"59","Škoda",19999,2017,98515,110,"BA kraj","Diesel","Automat"
"60","Škoda",20699,2018,117054,110,"BB kraj","Diesel","Automat"
"61","Škoda",20800,2018,178719,135,"BA kraj","Diesel","Automat"
"62","Škoda",20990,2016,55000,110,"BB kraj","Benzín","Automat"
"63","Škoda",28500,2021,32000,110,"BA kraj","Diesel","Automat"
"64","Škoda",700,2005,240000,110,"KE kraj","Benzín","Manuál"
"65","Škoda",1400,2002,328700,85,"NR kraj","Benzín+Plyn","Automat"
"66","Škoda",1500,1999,156461,74,"TT kraj","Benzín","Manuál"
"67","Škoda",1600,2005,5e+05,77,"BA kraj","Diesel","Manuál"
"68","Škoda",1850,2002,230186,75,"KE kraj","Benzín+Plyn","Manuál"
"69","Škoda",1890,2004,355005,66,"TN kraj","Diesel","Manuál"
"70","Škoda",1999,2005,244000,103,"BA kraj","Diesel","Manuál"
"71","Škoda",1999,2004,365000,74,"ZA kraj","Diesel","Manuál"
"72","Škoda",2000,2008,240681,75,"PO kraj","Benzín","Manuál"
"73","Škoda",2000,2005,295000,77,"PO kraj","Diesel","Manuál"
"74","Škoda",2000,2004,343000,81,"PO kraj","Diesel","Manuál"
"75","Škoda",2000,2002,233000,75,"NR kraj","Benzín","Manuál"
"76","Škoda",2000,2008,364529,125,"PO kraj","Diesel","Manuál"
"77","Škoda",2100,2004,316177,74,"KE kraj","Diesel","Manuál"
"78","Škoda",2150,2006,251942,85,"BA kraj","Benzín","Manuál"
"79","Škoda",2180,2002,188000,75,"PO kraj","Benzín","Manuál"
"80","Škoda",2400,2002,244614,110,"ZA kraj","Benzín","Manuál"
"81","Škoda",4300,2008,297815,77,"BB kraj","Diesel","Manuál"
"82","Škoda",4300,2007,250693,103,"KE kraj","Diesel","Automat"
"83","Škoda",4400,2010,328550,77,"BA kraj","Diesel","Manuál"
"84","Škoda",4400,2009,218439,77,"BA kraj","Diesel","Manuál"
"85","Škoda",4490,2005,267460,103,"PO kraj","Diesel","Manuál"
"86","Škoda",4490,2010,367000,77,"BA kraj","Diesel","Manuál"
"87","Škoda",4490,2010,238000,118,"TT kraj","Benzín","Manuál"
"88","Škoda",4490,2007,280956,77,"ZA kraj","Diesel","Manuál"
